id,vote_id,winner_id,loser_id,winner_text,loser_text,response_time_s
r1,4429589,237255,237360,Ohio State University Main Campus,Wayne State University,2.65
r4,4429590,237235,237249,University Of Michigan-Ann Arbor,Cornell University,3.749
r6,4429591,237349,237359,Virginia Polytechnic Institute And State University,Oklahoma State University Main Campus,2.964
r1,4429592,237275,237340,University Of Iowa,Baylor University,1.819
r3,4429593,237246,237294,Duke University,Brandeis University,3.597
r4,4429594,237235,237293,University Of Michigan-Ann Arbor,Arizona State University,2.628
r1,4429595,237246,237292,Duke University,Rice University,2.155
r3,4429596,237254,237353,University Of Washington,Brigham Young University,2.995
r1,4429597,237235,237366,University Of Michigan-Ann Arbor,University Of Oklahoma Norman Campus,1.93
r3,4429598,237371,237326,Utah State University,University of Victoria,2.579
r1,4429599,237276,237343,McGill University,University of Alberta,3.039
r1,4429601,237248,237304,Indiana University At Bloomington,University Of Georgia,1.762
r3,4429602,237270,237302,City University Of New York Grad. Center,Tulane University,4.59
r1,4429603,237311,237273,Iowa State University,University of British Columbia,2.377
r3,4429604,237312,237330,Northeastern University,University Of New Hampshire,2.47
r3,4429605,237261,237344,University Of California-San Diego,University of York,1.88
r6,4429607,237291,237279,Washington State University,The New School for Social Research,9.676
r1,4429608,237242,237354,University Of North Carolina At Chapel Hill,Southern Illinois University Carbondale,3.673
r3,4429609,237259,237262,Johns Hopkins University,University Of California-Davis,3.993
r1,4429610,237323,237307,University Of Miami,Texas A & M University,1.808
r6,4429611,237267,237297,Brown University,State University Of New York At Binghamton,2.88
r3,4429613,237249,237338,Cornell University,University of Central Florida,2.324
r4,4429614,237308,237353,Australian National University,Brigham Young University,5.78
r1,4429615,237311,237268,Iowa State University,University of Toronto,2.171
r5,4429616,237239,237362,Harvard University,University Of Hawaii At Manoa,1.916
r6,4429617,237319,237303,University Of South Carolina Columbia,Hunter college,3.727
r4,4429618,237255,237275,Ohio State University Main Campus,University Of Iowa,2.928
r1,4429619,237291,237307,Washington State University,Texas A & M University,2.5
r3,4429620,237355,237329,Mississippi State University,University of Essex,4.194
r6,4429621,237317,237371,Loyola University Chicago,Utah State University,2.956
r1,4429622,237262,237251,University Of California-Davis,University Of Texas At Austin,2.009
r6,4429623,237250,237332,Yale University,University Of Delaware,1.436
r4,4429624,237274,237311,University Of Illinois At Chicago,Iowa State University,5.601
r1,4429625,237340,237347,Baylor University,University Of Tennessee,2.097
r6,4429626,237251,237294,University Of Texas At Austin,Brandeis University,1.467
r1,4429628,237306,237362,North Carolina State University,University Of Hawaii At Manoa,1.794
r6,4429629,237251,237297,University Of Texas At Austin,State University Of New York At Binghamton,1.615
r4,4429630,237252,237312,London School of Economics,Northeastern University,3.268
r5,4429631,237288,237334,University Of California-Santa Cruz,Case Western Reserve University,2.893
r1,4429632,237246,237357,Duke University,"National University of Ireland, Galway.",2.166
r5,4429633,237234,237250,University Of California-Berkeley,Yale University,2.608
r1,4429634,237319,237273,University Of South Carolina Columbia,University of British Columbia,3.165
r6,4429635,237346,237301,University Of Kentucky,Temple University,6.126
r5,4429636,237259,237308,Johns Hopkins University,Australian National University,2.542
r1,4429637,237304,237314,University Of Georgia,University of Nevada Las Vegas,1.987
r6,4429638,237296,237349,Purdue University Main Campus,Virginia Polytechnic Institute And State University,3.435
r1,4429639,237267,237334,Brown University,Case Western Reserve University,3.255
r6,4429640,237293,237322,Arizona State University,University Of Missouri - Columbia,2.684
r6,4429642,237245,237334,Northwestern University,Case Western Reserve University,1.454
r1,4429644,237266,237335,University Of California-Santa Barbara,University of Western Ontario,3.262
r5,4429645,237287,237367,University of Pittsburgh,University Of Akron,1.654
r1,4429646,237314,237308,University of Nevada Las Vegas,Australian National University,2.425
r5,4429647,237280,237329,Emory University,University of Essex,1.69
r6,4429648,237270,237330,City University Of New York Grad. Center,University Of New Hampshire,5.821
r1,4429649,237333,237305,Fordham University,Syracuse University Main Campus,2.65
r6,4429650,237262,237295,University Of California-Davis,Michigan State University,3.317
r5,4429651,237254,237243,University Of Washington,Columbia University In The City Of New York,5.463
r6,4429652,237244,237297,University Of Pennsylvania,State University Of New York At Binghamton,1.817
r6,4429653,237317,237344,Loyola University Chicago,University of York,1.577
r5,4429654,237262,237273,University Of California-Davis,University of British Columbia,4.755
r6,4429655,237234,237323,University Of California-Berkeley,University Of Miami,1.625
r6,4429657,237319,237358,University Of South Carolina Columbia,Howard University,2.815
r6,4429658,237234,237372,University Of California-Berkeley,University of Durham,1.255
r4,4429659,237296,237372,Purdue University Main Campus,University of Durham,3.453
r4,4429660,237241,237282,Stanford University,University Of Oregon,2.421
r6,4429661,237371,237299,Utah State University,State University Of New York At Buffalo,6.316
r3,4429662,237246,237261,Duke University,University Of California-San Diego,59.774
r6,4429663,237318,237325,University Of Nebraska - Lincoln,Simon Fraser University,1.586
r6,4429664,237267,237292,Brown University,Rice University,1.554
r3,4429665,237260,237252,Rutgers The State University Of New Jersey New Brunswick Campus,London School of Economics,2.639
r6,4429666,237333,237361,Fordham University,Dalhousie University,1.817
r3,4429667,237280,237296,Emory University,Purdue University Main Campus,1.562
r6,4429668,237271,237340,State University Of New York At Stony Brook,Baylor University,5.574
r3,4429669,237275,237245,University Of Iowa,Northwestern University,5.039
r6,4429671,237306,237292,North Carolina State University,Rice University,1.923
r3,4429672,237355,237329,Mississippi State University,University of Essex,3.068
r6,4429673,237325,237366,Simon Fraser University,University Of Oklahoma Norman Campus,4.539
r3,4429674,237252,237338,London School of Economics,University of Central Florida,3.728
r6,4429675,237250,237307,Yale University,Texas A & M University,1.163
r6,4429676,237260,237370,Rutgers The State University Of New Jersey New Brunswick Campus,Memorial University of Newfoundland,1.717
r3,4429677,237251,237312,University Of Texas At Austin,Northeastern University,4.003
r6,4429680,237295,237303,Michigan State University,Hunter college,4.607
r3,4429681,237281,237333,University Of Virginia,Fordham University,3.371
r4,4429682,237268,237349,University of Toronto,Virginia Polytechnic Institute And State University,2.866
r6,4429683,237260,237345,Rutgers The State University Of New Jersey New Brunswick Campus,Kansas State University,2.457
r4,4429684,237276,237347,McGill University,University Of Tennessee,2.563
r3,4429685,237355,237359,Mississippi State University,Oklahoma State University Main Campus,3.658
r6,4429686,237239,237290,Harvard University,University Of Connecticut,2.075
r3,4429687,237328,237373,University of Calgary,"National University of Ireland, Maynooth",2.82
r6,4429688,237277,237319,University Of Southern California,University Of South Carolina Columbia,2.615
r3,4429690,237300,237366,Florida State University,University Of Oklahoma Norman Campus,2.367
r3,4429691,237262,237338,University Of California-Davis,University of Central Florida,2.098
r4,4429692,237331,237364,Bowling Green State University,University of Saskatchewan,9.332
r4,4429693,237240,237315,University Of California-Los Angeles,York University,2.028
r3,4429694,237239,237317,Harvard University,Loyola University Chicago,3.059
r6,4429695,237290,237279,University Of Connecticut,The New School for Social Research,9.756
r6,4429696,237262,237268,University Of California-Davis,University of Toronto,1.414
r6,4429697,237239,237370,Harvard University,Memorial University of Newfoundland,1.308
r3,4429698,237317,237267,Loyola University Chicago,Brown University,4.372
r6,4429699,237248,237365,Indiana University At Bloomington,Louisiana State University And Agricultural And Mechanical College,1.548
r6,4429700,237247,237320,New York University,University of Cincinnati,1.622
r3,4429701,237251,237289,University Of Texas At Austin,Sciences Po (Institut Etudes Politiques de Paris),3.394
r4,4429702,237313,237285,University Of Kansas,University Of Colorado At Boulder,8.685
r6,4429703,237275,237289,University Of Iowa,Sciences Po (Institut Etudes Politiques de Paris),1.539
r3,4429704,237340,237325,Baylor University,Simon Fraser University,3.312
r6,4429705,237272,237355,State University Of New York At Albany,Mississippi State University,2.373
r3,4429706,237240,237289,University Of California-Los Angeles,Sciences Po (Institut Etudes Politiques de Paris),1.99
r6,4429707,237288,237364,University Of California-Santa Cruz,University of Saskatchewan,3.51
r6,4429708,237236,237325,University Of Wisconsin-Madison,Simon Fraser University,1.004
r6,4429710,237307,237320,Texas A & M University,University of Cincinnati,3.992
r4,4429711,237318,237319,University Of Nebraska - Lincoln,University Of South Carolina Columbia,2.413
r6,4429712,237256,237244,University Of Minnesota-Twin Cities,University Of Pennsylvania,3.107
r6,4429713,237259,237336,Johns Hopkins University,Queen's University,1.357
r3,4429714,237295,237294,Michigan State University,Brandeis University,17.58
r6,4429715,237367,237357,University Of Akron,"National University of Ireland, Galway.",4.073
r3,4429716,237254,237270,University Of Washington,City University Of New York Grad. Center,2.133
r6,4429717,237276,237369,McGill University,University of Nottingham,1.717
r3,4429718,237248,237370,Indiana University At Bloomington,Memorial University of Newfoundland,2.287
r6,4429719,237270,237349,City University Of New York Grad. Center,Virginia Polytechnic Institute And State University,3.577
r6,4429720,237318,237356,University Of Nebraska - Lincoln,University of Waterloo,1.823
r3,4429721,237288,237362,University Of California-Santa Cruz,University Of Hawaii At Manoa,5.25
r6,4429723,237355,237331,Mississippi State University,Bowling Green State University,4.166
r3,4429724,237286,237274,University Of California-Riverside,University Of Illinois At Chicago,3.174
r6,4429725,237309,237288,McMaster University,University Of California-Santa Cruz,1.848
r4,4429726,237290,237356,University Of Connecticut,University of Waterloo,3.737
r6,4429727,237263,237349,University Of Massachusetts Amherst,Virginia Polytechnic Institute And State University,1.491
r3,4429728,237252,237335,London School of Economics,University of Western Ontario,4.152
r6,4429729,237322,237337,University Of Missouri - Columbia,University of Warwick,1.82
r4,4429730,237293,237321,Arizona State University,University of Sussex,3.329
r3,4429731,237273,237308,University of British Columbia,Australian National University,2.089
r4,4429732,237251,237329,University Of Texas At Austin,University of Essex,2.221
r6,4429733,237292,237367,Rice University,University Of Akron,3.936
r3,4429734,237263,237252,University Of Massachusetts Amherst,London School of Economics,2.94
r6,4429735,237236,237266,University Of Wisconsin-Madison,University Of California-Santa Barbara,1.871
r6,4429736,237292,237341,Rice University,University of South Florida,1.862
r3,4429737,237310,237301,University of North Carolina at Charlotte,Temple University,4.389
r4,4429738,237285,237354,University Of Colorado At Boulder,Southern Illinois University Carbondale,7.119
r6,4429739,237319,237309,University Of South Carolina Columbia,McMaster University,2.292
r6,4429740,237280,237315,Emory University,York University,1.84
r4,4429741,237271,237336,State University Of New York At Stony Brook,Queen's University,3.674
r6,4429742,237254,237268,University Of Washington,University of Toronto,2.098
r3,4429743,237274,237350,University Of Illinois At Chicago,Carleton University,6.544
r6,4429744,237259,237365,Johns Hopkins University,Louisiana State University And Agricultural And Mechanical College,1.414
r3,4429745,237275,237363,University Of Iowa,University Of North Texas,2.173
r6,4429746,237248,237280,Indiana University At Bloomington,Emory University,1.442
r3,4429747,237278,237251,University Of Illinois At Urbana-Champaign,University Of Texas At Austin,2.543
r6,4429748,237276,237318,McGill University,University Of Nebraska - Lincoln,4.471
r3,4429749,237302,237331,Tulane University,Bowling Green State University,3.592
r4,4429750,237250,237251,Yale University,University Of Texas At Austin,11.878
r6,4429751,237255,237254,Ohio State University Main Campus,University Of Washington,2.608
r4,4429752,237277,237291,University Of Southern California,Washington State University,2.532
r3,4429753,237338,237295,University of Central Florida,Michigan State University,7.829
r4,4429754,237269,237276,Vanderbilt University,McGill University,3.043
r4,4429755,237235,237325,University Of Michigan-Ann Arbor,Simon Fraser University,2.245
r3,4429756,237314,237260,University of Nevada Las Vegas,Rutgers The State University Of New Jersey New Brunswick Campus,3.962
r4,4429757,237245,237341,Northwestern University,University of South Florida,2.525
r3,4429758,237235,237372,University Of Michigan-Ann Arbor,University of Durham,3.397
r4,4429759,237274,237348,University Of Illinois At Chicago,University of Leeds,4.957
r3,4429760,237282,237332,University Of Oregon,University Of Delaware,9.007
r4,4429761,237236,237288,University Of Wisconsin-Madison,University Of California-Santa Cruz,8.448
r3,4429762,237283,237267,Boston University,Brown University,3.932
r3,4429763,237366,237308,University Of Oklahoma Norman Campus,Australian National University,1.636
r4,4429764,237279,237367,The New School for Social Research,University Of Akron,4.593
r3,4429765,237319,237338,University Of South Carolina Columbia,University of Central Florida,3.819
r3,4429766,237264,237339,University Of Maryland College Park,University Of New Mexico Main Campus,3.702
r3,4429767,237258,237350,University Of Arizona,Carleton University,1.637
r3,4429768,237365,237357,Louisiana State University And Agricultural And Mechanical College,"National University of Ireland, Galway.",3.182
r3,4429769,237252,237239,London School of Economics,Harvard University,1.203
r3,4429770,237249,237280,Cornell University,Emory University,3.011
